,A* cost to goal (dependant),State,x distance,y distance
734,-29.0,FORWARD,5,0
735,-48.0,BASH,4,0
736,-71.0,FORWARD,3,0
737,-89.0,BASH,2,0
738,-113.0,FORWARD,1,0
739,1.0,Goal,0,0
740,17.0,Start,5,4
741,9.0,RIGHT,5,4
742,1.0,BASH,5,4
743,-10.0,FORWARD,5,3
744,-22.0,FORWARD,5,2
745,-33.0,FORWARD,5,1
746,-44.0,LEFT,5,0
747,-55.0,BASH,5,0
748,-69.0,FORWARD,4,0
749,-84.0,BASH,3,0
750,-105.0,FORWARD,2,0
751,-123.0,FORWARD,1,0
752,1.0,Goal,0,0
753,7.0,Start,4,0
754,4.0,RIGHT,4,0
755,1.0,FORWARD,4,0
756,-4.0,RIGHT,4,1
757,-9.0,BASH,4,1
758,-20.0,FORWARD,3,1
759,-27.0,FORWARD,2,1
760,-34.0,RIGHT,1,1
761,-41.0,FORWARD,1,1
762,-48.0,LEFT,1,0
763,-55.0,FORWARD,1,0
764,1.0,Goal,0,0
765,10.0,Start,1,4
766,6.0,RIGHT,1,4
767,2.0,FORWARD,1,4
768,-5.0,BASH,1,3
769,-17.0,FORWARD,1,2
770,-28.0,FORWARD,1,1
771,-38.0,LEFT,1,0
772,-48.0,FORWARD,1,0
773,1.0,Goal,0,0
774,27.0,Start,8,3
775,17.0,RIGHT,8,3
776,7.0,FORWARD,8,3
777,-3.0,FORWARD,8,2
778,-15.0,BASH,8,1
779,-35.0,FORWARD,8,0
780,-50.0,RIGHT,8,1
781,-65.0,BASH,8,1
782,-89.0,FORWARD,7,1
783,-106.0,BASH,6,1
784,-135.0,FORWARD,5,1
785,-161.0,FORWARD,4,1
786,-187.0,FORWARD,3,1
787,-212.0,BASH,2,1
788,-245.0,FORWARD,1,1
789,-272.0,RIGHT,0,1
790,-299.0,FORWARD,0,1
791,1.0,Goal,0,0
792,34.0,Start,7,6
793,22.0,RIGHT,7,6
794,10.0,BASH,7,6
795,-8.0,FORWARD,7,5
796,-22.0,LEFT,7,4
797,-36.0,FORWARD,7,4
798,-52.0,FORWARD,6,4
799,-67.0,RIGHT,5,4
800,-82.0,FORWARD,5,4
801,-97.0,LEFT,5,3
802,-112.0,BASH,5,3
803,-139.0,FORWARD,4,3
804,-166.0,FORWARD,3,3
805,-193.0,BASH,2,3
806,-227.0,FORWARD,1,3
807,-257.0,RIGHT,0,3
808,-288.0,FORWARD,0,3
809,-321.0,BASH,0,2
810,-359.0,FORWARD,0,1
811,1.0,Goal,0,0
812,6.0,Start,0,3
813,4.0,LEFT,0,3
814,2.0,BASH,0,3
815,-5.0,FORWARD,0,2
816,-12.0,FORWARD,0,1
817,1.0,Goal,0,0
818,12.0,Start,2,3
819,8.0,RIGHT,2,3
820,4.0,FORWARD,2,3
821,-2.0,BASH,2,2
822,-15.0,FORWARD,2,1
823,-25.0,LEFT,2,0
824,-36.0,BASH,2,0
825,-55.0,FORWARD,1,0
826,1.0,Goal,0,0
827,24.0,Start,5,4
828,16.0,BASH,5,4
829,1.0,FORWARD,4,4
830,-9.0,BASH,3,4
831,-29.0,FORWARD,2,4
832,-44.0,RIGHT,1,4
833,-60.0,BASH,1,4
834,-81.0,FORWARD,1,3
835,-100.0,FORWARD,1,2
836,-120.0,FORWARD,1,1
837,-144.0,LEFT,1,0
838,-169.0,FORWARD,1,0
839,1.0,Goal,0,0
840,12.0,Start,5,0
841,8.0,LEFT,5,0
842,4.0,LEFT,5,0
843,0.0,FORWARD,5,0
844,-4.0,BASH,4,0
845,-11.0,FORWARD,3,0
846,-23.0,BASH,2,0
847,-37.0,FORWARD,1,0
848,1.0,Goal,0,0
849,20.0,Start,3,5
850,13.0,LEFT,3,5
851,6.0,FORWARD,3,5
852,-4.0,BASH,3,4
853,-21.0,FORWARD,3,3
854,-34.0,RIGHT,3,2
855,-48.0,BASH,3,2
856,-66.0,FORWARD,2,2
857,-84.0,LEFT,1,2
858,-103.0,BASH,1,2
859,-126.0,FORWARD,1,1
860,-146.0,RIGHT,1,0
861,-166.0,FORWARD,1,0
862,1.0,Goal,0,0
863,8.0,Start,1,3
864,5.0,RIGHT,1,3
865,2.0,FORWARD,1,3
866,-3.0,LEFT,1,2
867,-9.0,FORWARD,1,2
868,-17.0,RIGHT,0,2
869,-26.0,FORWARD,0,2
870,-34.0,FORWARD,0,1
871,1.0,Goal,0,0
872,20.0,Start,4,4
873,13.0,RIGHT,4,4
874,6.0,FORWARD,4,4
875,-4.0,RIGHT,4,3
876,-15.0,FORWARD,4,3
877,-30.0,BASH,3,3
878,-50.0,FORWARD,2,3
879,-65.0,LEFT,1,3
880,-80.0,BASH,1,3
881,-101.0,FORWARD,1,2
882,-122.0,FORWARD,1,1
883,-142.0,RIGHT,1,0
884,-162.0,FORWARD,1,0
885,1.0,Goal,0,0
886,15.0,Start,4,2
